,Customer_ID,Customer Name,DOB,Gender,City,Call ID,Calling Date,Call Duration,Source City,Destination City
0,950694369,xuguk,26/12/74 0:00,M,Hyderabad,826421431,14/02/18 0:00,36,Shimla,Shimla
1,950694369,xuguk,26/12/74 0:00,M,Hyderabad,933395816,13/08/17 0:00,3,Delhi,Delhi
2,950694369,xuguk,26/12/74 0:00,M,Hyderabad,112510039,20/05/18 0:00,74,Mangalore,Hyderabad
3,950694369,xuguk,26/12/74 0:00,M,Hyderabad,306256239,12/10/17 0:00,135,Bangalore,Orissa
4,950694369,xuguk,26/12/74 0:00,M,Hyderabad,19510842,21/10/17 0:00,144,Mumbai,Dehradun
5,950694369,xuguk,26/12/74 0:00,M,Hyderabad,97257127,01/01/18 0:00,98,Noida,Delhi
6,950694369,xuguk,26/12/74 0:00,M,Hyderabad,925830492,08/09/18 0:00,7,Delhi,Chennai
7,950694369,xuguk,26/12/74 0:00,M,Hyderabad,405817574,06/10/17 0:00,73,Chennai,Dehradun
8,615706054,jefex,17/08/55 0:00,F,Jaipur,934449228,13/10/18 0:00,13,Chandigarh,Delhi
9,615706054,jefex,17/08/55 0:00,F,Jaipur,221629175,24/11/18 0:00,57,Mangalore,Chandigarh
10,615706054,jefex,17/08/55 0:00,F,Jaipur,503141368,09/06/17 0:00,17,Jaipur,Hyderabad
11,615706054,jefex,17/08/55 0:00,F,Jaipur,67665496,27/10/17 0:00,87,Dehradun,Gurugram
12,615706054,jefex,17/08/55 0:00,F,Jaipur,452438123,05/02/17 0:00,63,Mumbai,Mangalore
13,615706054,jefex,17/08/55 0:00,F,Jaipur,539353278,17/08/17 0:00,146,Gurugram,Mangalore
14,615706054,jefex,17/08/55 0:00,F,Jaipur,73913812,17/04/18 0:00,81,Mumbai,Mangalore
15,615706054,jefex,17/08/55 0:00,F,Jaipur,907542624,15/07/17 0:00,90,Jaipur,Shimla
16,615706054,jefex,17/08/55 0:00,F,Jaipur,699193151,21/01/17 0:00,93,Mangalore,Hyderabad
17,835551935,wiyuv,09/04/54 0:00,F,Hyderabad,247602288,24/10/18 0:00,13,Kanpur,Delhi
18,835551935,wiyuv,09/04/54 0:00,F,Hyderabad,685796325,07/04/17 0:00,92,Chandigarh,Bangalore
19,835551935,wiyuv,09/04/54 0:00,F,Hyderabad,586727915,04/10/17 0:00,28,Chandigarh,Hyderabad
20,419472292,rowap,14/06/87 0:00,M,Bangalore,607682181,14/03/17 0:00,88,Chennai,Noida
21,419472292,rowap,14/06/87 0:00,M,Bangalore,894676574,20/06/18 0:00,37,Dehradun,Gurugram
22,419472292,rowap,14/06/87 0:00,M,Bangalore,338093501,11/12/17 0:00,129,Bangalore,Mumbai
23,419472292,rowap,14/06/87 0:00,M,Bangalore,512836375,20/10/17 0:00,25,Shimla,Jaipur
24,419472292,rowap,14/06/87 0:00,M,Bangalore,892763666,13/10/18 0:00,128,Hyderabad,Dehradun
25,146624554,litof,24/06/89 0:00,F,Chandigarh,97170028,18/10/17 0:00,100,Dehradun,Orissa
26,146624554,litof,24/06/89 0:00,F,Chandigarh,570183997,17/01/17 0:00,7,Chandigarh,Bangalore
27,146624554,litof,24/06/89 0:00,F,Chandigarh,256178616,12/05/17 0:00,88,Kanpur,Chandigarh
28,146624554,litof,24/06/89 0:00,F,Chandigarh,18306010,24/03/18 0:00,44,Chandigarh,Bangalore
29,146624554,litof,24/06/89 0:00,F,Chandigarh,63159940,22/05/18 0:00,84,Kanpur,Bangalore
30,506980793,cavov,24/09/07 0:00,M,Kanpur,778964710,07/02/17 0:00,23,Kanpur,Chennai
31,506980793,cavov,24/09/07 0:00,M,Kanpur,687922313,28/05/17 0:00,88,Chennai,Delhi
32,506980793,cavov,24/09/07 0:00,M,Kanpur,600236037,16/05/17 0:00,34,Dehradun,Chennai
33,506980793,cavov,24/09/07 0:00,M,Kanpur,688326709,14/05/17 0:00,148,Mumbai,Mangalore
34,506980793,cavov,24/09/07 0:00,M,Kanpur,393605332,12/04/17 0:00,46,Gurugram,Gurugram
35,506980793,cavov,24/09/07 0:00,M,Kanpur,67811442,10/03/17 0:00,118,Mumbai,Mangalore
36,506980793,cavov,24/09/07 0:00,M,Kanpur,838663790,01/10/17 0:00,10,Hyderabad,Chennai
37,352864508,bikad,19/01/05 0:00,F,Kanpur,521181058,16/10/18 0:00,88,Bangalore,Noida
38,352864508,bikad,19/01/05 0:00,F,Kanpur,787696967,01/01/17 0:00,1,Mangalore,Mumbai
39,695439548,tecoy,18/02/52 0:00,F,Dehradun,455716331,01/09/18 0:00,124,Orissa,Mumbai
40,695439548,tecoy,18/02/52 0:00,F,Dehradun,956737072,09/07/17 0:00,6,Bangalore,Mumbai
41,695439548,tecoy,18/02/52 0:00,F,Dehradun,31579752,09/11/17 0:00,140,Jaipur,Chennai
42,280514777,tetim,17/02/04 0:00,F,Mangalore,284488454,07/01/17 0:00,128,Delhi,Delhi
43,280514777,tetim,17/02/04 0:00,F,Mangalore,132682942,07/02/18 0:00,74,Mangalore,Dehradun
44,280514777,tetim,17/02/04 0:00,F,Mangalore,693717794,19/09/17 0:00,149,Gurugram,Dehradun
